                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.61788,                 3.5828,                0.58516,                0.43102,                0.84592,                0.98436,                0.97727,                 0.9926,                0.82882,                 0.3295,                0.34091,                0.12312,                0.02554,                0.66873,                 5.1279,                0.58183,                 1.0674,                0.87922,              0.0014852,              0.0014852,              0.0014852
                     81,                0.64286,                 3.7941,                0.57658,                0.44256,                0.85792,                 0.9903,                      1,                  0.995,                0.83976,                0.50151,                0.38636,                0.25536,                0.04422,                0.66364,                 5.0218,                0.58125,                0.64815,                 0.8828,              0.0014786,              0.0014786,              0.0014786
                     82,                 0.6455,                 3.7881,                0.57515,                0.43433,                0.85519,                0.99092,                      1,                  0.995,                0.82539,                 0.5712,                    0.5,                0.34698,                0.13104,                0.70522,                 4.1978,                0.57879,                 0.7188,                0.89988,               0.001472,               0.001472,               0.001472
                     83,                0.68874,                 4.0347,                0.58517,                0.45475,                0.88655,                0.99399,                      1,                  0.995,                0.84542,                0.45453,                0.45455,                0.29764,                 0.0668,                0.67718,                 4.5582,                0.58367,                0.66101,                0.88671,              0.0014654,              0.0014654,              0.0014654
                     84,                0.61905,                 3.8404,                0.59723,                0.43034,                0.85488,                0.98071,                      1,                  0.995,                0.83816,                0.45275,                0.43182,                0.34365,                0.12092,                0.65713,                 4.4522,                0.58399,                0.69784,                 0.8771,              0.0014588,              0.0014588,              0.0014588
                     85,                0.62439,                 3.8755,                0.56568,                0.42404,                0.87121,                 0.9302,                      1,                  0.995,                0.84341,                 0.6321,                0.68182,                0.54437,                0.12122,                0.63073,                 4.2767,                0.58679,                0.66213,                0.86776,              0.0014522,              0.0014522,              0.0014522
                     86,                0.62979,                 3.8577,                0.58902,                 0.4273,                0.87519,                0.99132,                      1,                  0.995,                 0.8487,                0.54091,                0.54545,                0.38087,                0.10341,                0.66749,                 4.1177,                0.58187,                0.79167,                0.88501,              0.0014456,              0.0014456,              0.0014456
                     87,                0.61693,                 3.9254,                0.57176,                0.41943,                0.86953,                0.99643,                      1,                  0.995,                0.80837,                0.46082,                0.31096,                0.29226,                0.07696,                0.68925,                 4.7119,                0.58132,                0.61378,                0.88745,               0.001439,               0.001439,               0.001439
                     88,                0.67663,                 3.8085,                 0.5865,                0.42157,                0.86707,                 0.9973,                      1,                  0.995,                0.84395,                0.64426,                0.63636,                0.46969,                0.08952,                0.68595,                 4.4042,                0.58646,                0.56309,                0.90379,              0.0014324,              0.0014324,              0.0014324
                     89,                0.68866,                 4.0284,                0.58957,                0.44564,                0.87298,                0.99762,                      1,                  0.995,                0.81501,                0.57906,                0.56818,                0.44154,                 0.1069,                0.68198,                 4.5591,                0.58643,                0.51284,                0.89682,              0.0014258,              0.0014258,              0.0014258
                     90,                0.64158,                 4.0025,                0.56844,                0.44176,                0.88653,                      1,                0.99796,                  0.995,                0.83322,                0.65991,                0.65909,                0.50547,                0.09688,                 0.6487,                 4.1964,                0.58262,                0.66346,                 0.8894,              0.0014192,              0.0014192,              0.0014192
                     91,                0.65847,                 3.8641,                0.59193,                0.42869,                0.86377,                0.96251,                      1,                  0.987,                0.82502,                0.72149,                   0.75,                0.61054,                0.18186,                0.68079,                 3.8309,                0.58571,                0.63055,                 0.8899,              0.0014126,              0.0014126,              0.0014126
                     92,                 0.6265,                 3.6637,                 0.5968,                0.42483,                0.86507,                0.99466,                      1,                  0.995,                0.83134,                0.76819,                0.77273,                0.69012,                0.25849,                0.64682,                 3.7207,                0.58587,                0.45764,                 0.8733,               0.001406,               0.001406,               0.001406
                     93,                0.59513,                 3.4431,                0.55274,                0.41663,                0.85234,                0.99629,                      1,                  0.995,                0.83704,                0.81502,                0.81818,                0.75804,                0.26758,                0.64996,                 3.7335,                 0.5793,                0.49672,                0.87579,              0.0013994,              0.0013994,              0.0013994
                     94,                0.61065,                 3.5844,                0.57516,                0.41352,                0.85203,                0.99623,                      1,                  0.995,                 0.8454,                0.72635,                0.72727,                0.64074,                 0.2084,                0.63263,                 3.7539,                 0.5824,                0.48907,                0.86037,              0.0013928,              0.0013928,              0.0013928
                     95,                0.62852,                  3.725,                0.58426,                0.42179,                0.86058,                0.99363,                      1,                  0.995,                0.85093,                0.81707,                0.81818,                0.76037,                 0.2745,                0.64032,                 3.4373,                0.58061,                0.47214,                0.87269,              0.0013862,              0.0013862,              0.0013862
                     96,                0.61639,                 3.8057,                0.58632,                 0.4114,                0.85364,                0.99742,                      1,                  0.995,                0.82404,                0.77222,                0.77273,                0.70671,                 0.2651,                0.66853,                 3.7575,                0.58311,                0.49305,                0.88799,              0.0013796,              0.0013796,              0.0013796
