                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.59726,                 2.6433,                0.49244,                0.38117,                0.85545,                 0.9987,                0.92683,                0.94362,                 0.8212,                 0.9264,                0.85976,                0.85183,                0.41372,                0.57069,                 2.4114,                0.51388,                0.37113,                0.81995,              0.0014654,              0.0014654,              0.0014654
                     84,                0.59347,                 2.5718,                0.49486,                0.36879,                0.84996,                0.99913,                0.92073,                0.95223,                0.81707,                0.90961,                0.85904,                0.87701,                 0.4895,                0.60585,                 2.3313,                0.51018,                0.36451,                0.83271,              0.0014588,              0.0014588,              0.0014588
                     85,                0.58503,                 2.6675,                0.48526,                0.37386,                0.84814,                0.99938,                0.92683,                0.96049,                0.85625,                0.93106,                0.85976,                0.89984,                0.48776,                 0.5454,                 2.3788,                0.50444,                0.34751,                0.81315,              0.0014522,              0.0014522,              0.0014522
                     86,                0.58146,                 2.6674,                0.49022,                 0.3686,                0.85393,                 0.9935,                0.93156,                0.93869,                0.80972,                0.94736,                0.87797,                0.87684,                0.41891,                0.59093,                 2.4652,                0.50454,                 0.3756,                0.81947,              0.0014456,              0.0014456,              0.0014456
                     87,                0.57296,                 2.6592,                0.48913,                0.36392,                0.84176,                0.99854,                0.93293,                0.94528,                0.82973,                0.93811,                0.86585,                 0.8787,                0.43705,                0.58581,                 2.3981,                 0.4959,                0.37023,                0.81985,               0.001439,               0.001439,               0.001439
                     88,                0.58156,                 2.5841,                0.48914,                0.36933,                0.85951,                0.99303,                0.93293,                0.93708,                0.81682,                0.92734,                0.85976,                0.84243,                0.39732,                0.56032,                 2.5385,                0.49387,                0.43019,                0.81782,              0.0014324,              0.0014324,              0.0014324
                     89,                0.60148,                 2.5972,                0.48794,                0.37822,                0.86036,                0.99941,                0.93293,                0.94722,                0.83871,                0.93751,                0.87195,                0.87822,                0.44473,                0.54056,                 2.4281,                0.49568,                  0.351,                0.81791,              0.0014258,              0.0014258,              0.0014258
                     90,                0.60366,                 2.7136,                 0.4809,                0.38794,                0.86845,                 0.9975,                0.92683,                0.94087,                0.83003,                0.94576,                0.87805,                  0.874,                0.42527,                0.56435,                 2.4503,                0.47748,                0.37161,                0.82139,              0.0014192,              0.0014192,              0.0014192
                     91,                0.60219,                 2.5788,                0.45234,                0.37892,                0.85613,                      1,                0.93269,                0.94988,                0.83892,                0.93387,                0.86585,                0.88133,                 0.4413,                0.55847,                 2.5812,                0.46782,                0.35552,                0.81671,              0.0014126,              0.0014126,              0.0014126
                     92,                0.61337,                 2.6174,                0.46061,                0.36796,                 0.8498,                0.99944,                0.93293,                0.95826,                0.85266,                0.94657,                0.86424,                0.89827,                 0.4562,                0.56753,                 2.4159,                0.48013,                0.35229,                0.81841,               0.001406,               0.001406,               0.001406
